Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,References,Sponsors,Conference name,Conference date,Conference location,Conference code,Document Type,Publication Stage,Open Access,Source,EID
"Schneider S., Taylor G.W., Linquist S., Kremer S.C.","",[No title available],2018,"Past, Present and Future Approaches Using Computer Vision for Animal Re-identification from Camera Trap Data",,,,"","",,1,,,,"Schneider, S.; Taylor, G.W.; Linquist, S.; Kremer, S.C.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85106919246
"Tabak M.A., Norouzzadeh M.S., Wolfson D.W., Sweeney S.J., Vercauteren K.C., Snow N.P., Halseth J.M., Di Salvo P.A., Lewis J.S., White M.D., Teton B., Beasley J.C., Schlichting P.E., Boughton R.K., Wight B., Newkirk E.S., Ivan J.S., Odell E.A., Brook R.K., Lukacs P.M., Moeller A.K., Mandeville E.G., Clune J., Miller R.S.","","Machine learning to classify animal species in camera trap images: applications in ecology",2018,"Methods Ecol. Evol.",,,,"1","6",,6,,,,"Tabak, M.A.; Norouzzadeh, M.S.; Wolfson, D.W.; Sweeney, S.J.; Vercauteren, K.C.; Snow, N.P.; Halseth, J.M.; Di Salvo, P.A.; Lewis, J.S.; White, M.D.; Teton, B.; Beasley, J.C.; Schlichting, P.E.; Boughton, R.K.; Wight, B.; Newkirk, E.S.; Ivan, J.S.; Odell, E.A.; Brook, R.K.; Lukacs, P.M.; Moeller, A.K.; Mandeville, E.G.; Clune, J.; Miller, R.S.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85063707318
"Schneider S., Taylor G.W., Kremer S.C.","",[No title available],2018,"Deep Learning Object Detection Methods for Ecological Camera Trap Data","1",,,"1","8",,1,,,,"Schneider, S.; Taylor, G.W.; Kremer, S.C.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85064417296
"Yousif H., Yuan J., Kays R., He Z.","","Animal scanner: Software for classifying humans, animals, and empty frames in camera trap images",2018,"Wiley Ecol. Evol.",,,,"","",,1,,,,"Yousif, H.; Yuan, J.; Kays, R.; He, Z.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85083104698
"Beery S., Van Horn G., Perona P.","",[No title available],2018,"Recognition in terra incognita. Paper presented at Proceedings of the European Conference on Computer Vision (pp. 456–473)",,,,"","",,1,,,,"Beery, S.; Van Horn, G.; Perona, P.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85099762503
"Beery S., Van Horn G., Perona P.","","Recognition in terra incognita",2018,"The European Conference on Computer Vision (ECCV)",,,,"456","473",,46,,,,"Beery, S.; Van Horn, G.; Perona, P.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85071298338
"Norouzzadeh M.S.","","Automatically identifying, counting, and describing wild animals in camera-trap images with deep learning",2017,"Cornell Univ",,,,"","",,1,,,,"Norouzzadeh, M.S.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85093523251
"Norouzzadeh M.S., Nguyen A., Kosmala M., Swanson A., Palmer M., Packer C., Clune J.","","Automatically identifying, counting, and describing wild animals in camera-trap images with deep learning",2017,"Proceedings of the National Academy of Sciences",,,,"","",,13,,,,"Norouzzadeh, M.S.; Nguyen, A.; Kosmala, M.; Swanson, A.; Palmer, M.; Packer, C.; Clune, J.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85058327857
"Giraldo-Zuluaga J.-H., Gomez A., Salazar A., Diaz-Pulido A.","",[No title available],2017,"Camera-Trap Images Segmentation Using Multi-layer Robust Principal Component Analysis",,,,"","",,5,,,,"Giraldo-Zuluaga, J.-H.; Gomez, A.; Salazar, A.; Diaz-Pulido, A.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85045305470
"Norouzzadeh M.S., Nguyen A., Kosmala M., Swanson A., Palmer M., Packer C.","",[No title available],2017,"Automatically Identifying, Counting, and Describing Wild Animals in Camera-trap Images with Deep Learning","115","25",,"","",,1,,,,"Norouzzadeh, M.S.; Nguyen, A.; Kosmala, M.; Swanson, A.; Palmer, M.; Packer, C.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85083007280
"Giraldo-Zuluaga J.H., Salazar A., Gomez A., Diaz-Pulido A.","","Camera-trap images segmentation using multi-layer robust principal component analysis",2017,"Vis. Comp.",,,,"1","13",,5,,,,"Giraldo-Zuluaga, J.H.; Salazar, A.; Gomez, A.; Diaz-Pulido, A.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85063018540
"Giraldo-Zuluaga J., Gómez A., Salazar A., Diaz-Pulido A.","","Camera-trap images segmentation using multi-layer robust principal component analysis",2017,"CoRR",,,,"1","5",,1,,,,"Giraldo-Zuluaga, J.; Gómez, A.; Salazar, A.; Diaz-Pulido, A.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85102228491
"Gomez Alexander, Diez German, Salazar Augusto, Diaz Angelica","","Animal identification in low quality camera-trap images using very deep convolutional neural networks and confidence thresholds",2016,"International Symposium on Visual Computing",,,,"","",,1,,,,"Gomez, Alexander; Diez, German; Salazar, Augusto; Diaz, Angelica",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85083711928
"Gomez A., Salazar A., Vargas F.","",[No title available],2016,"Towards Automatic Wild Animal Monitoring: Identification of Animal Species in Camera-Trap Images Using Very Deep Convolutional Neural Networks",,,,"","",,21,,,,"Gomez, A.; Salazar, A.; Vargas, F.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85007132073
"Gómez A., Salazar A., Vargas F.","","Towards automatic wild animal monitoring: identification of animal species in camera-trap images using very deep convolutional neural networks",2016,"CoRR, abs/1603",,,,"06169","",,1,,,,"Gómez, A.; Salazar, A.; Vargas, F.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85052250644
"Gomez A., Salazar A., Vargas F.","","Towards automatic wild animal monitoring: Identification of animal species in camera-trap images using very deep convolutional neural networks",2016,"arXiv preprint arXiv:1603.06169",,,,"","",,1,,,,"Gomez, A.; Salazar, A.; Vargas, F.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85081275733
"Yu X., Wang J., Kays R., Jansen P.A., Wang T., Huang T.","","Automated identification of animal species in camera trap images",2013,"EURASIP J Image Vide","52",,,"1","10",,2,,,,"Yu, X.; Wang, J.; Kays, R.; Jansen, P.A.; Wang, T.; Huang, T.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85065653930
"Norouzzadeh M.S., Nguyen A., Kosmala M., Swanson A., Palmer M.S., Packer C., Clune J.","",[No title available],0000,"Automatically Identifying, Counting, and Describing Wild Animals in Camera-Trap Images with Deep Learning",,,,"1","17",,2,,,,"Norouzzadeh, M.S.; Nguyen, A.; Kosmala, M.; Swanson, A.; Palmer, M.S.; Packer, C.; Clune, J.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85073093005
"Schneider S., Taylor G., Kremer S.","","Deep learning object detection methods for ecological camera trap data",0000,"Conference on Computer and Robot Vision",,,,"","",,1,,,,"Schneider, S.; Taylor, G.; Kremer, S.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85085941700
"Giraldo-Zuluaga J.-H., Gomez A., Salazar A., Diaz-Pulido A.","","Camera-trap images segmentation using multi-layer robust principal component analysis, available from: arXiv preprint",0000,,,,,"","",,1,,,,"Giraldo-Zuluaga, J.-H.; Gomez, A.; Salazar, A.; Diaz-Pulido, A.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85052212482
"Yu X., Wang J., Kays R., Jansen P.A., Wang T., Huang T.","",[No title available],0000,"EURASIPJournalonImageand VideoProcessing2013,2013:52 RESEARCH OpenAccess Automated Identification of Animal Species in Camera Trap Images",,,,"","",,1,,,,"Yu, X.; Wang, J.; Kays, R.; Jansen, P.A.; Wang, T.; Huang, T.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85050159194
"Nourouzzadeh M.S., Nguyen A., Kosmala M., Swanson A., Palmer M., Packer C., Clune J.","","Automatically identifying, counting and describing wild animal in camera trap images with deep learning",0000,"Communications of the ACM",,,,"","",,1,,,,"Nourouzzadeh, M.S.; Nguyen, A.; Kosmala, M.; Swanson, A.; Palmer, M.; Packer, C.; Clune, J.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85064910123
