"","ID","title"
"31",31,"Overlap in activity patterns between big cats and their main prey in northern Quintana Roo, Mexico [Traslape en patrones de actividad entre grandes felinos y sus principales presas en el norte de Quintana Roo, México]"
"32",32,"Effective spatial scales for evaluating environmental determinants of population density in Yakushima macaques"
"33",33,"Population estimates and conservation of felids (Carnivora: Felidae) in northern Quintana Roo, Mexico [Estimación poblacional y conservación de felinos (Carnivora: Felidae) en el norte de Quintana Roo, México]"
"34",34,"Using motion-sensor camera technology to infer seasonal activity and thermal niche of the desert tortoise (Gopherus agassizii)"
"35",35,"Habitat use of jaguar (Panthera onca) in a tropical forest in northern Quintana Roo, Mexico"
"36",36,"Ecological video monitoring of Marine Protected Areas by underwater cabled surveillance cameras"
"37",37,"Jaguar (Panthera onca) and puma (Puma concolor) diets in Quintana Roo, Mexico [La dieta del jaguar (Panthera onca) y del puma (Puma concolor) en Quintana Roo, en México]"
"38",38,"Animal species classification using deep neural networks with noise labels"
"39",39,"Coexistence of jaguars (Panthera onca) and pumas (puma concolor) in a tropical forest in south–eastern mexico [Coexistencia del jaguar (Panthera onca) y el puma (puma concolor) en un bosque tropical del sureste de mé­xico.]"
"40",40,"Semantic region of interest and species classification in the deep neural network feature domain"
"41",41,"Evaluating satellite retrieved fractional snow-covered area at a high-Arctic site using terrestrial photography"
"42",42,"Detecting semantic anomalies"
"43",43,"Study of the population of capybara (Hydrochoerus hydrochaeris) in the protected area “El Morejón”, Campana (Buenos Aires). [Estudio de la población de carpincho (Hydrochoerus hydrochaeris) en el área natural protegida “El Morejón”, Campana (Buenos Aires)]"
"44",44,"Enhanced vision based vein detection system"
"45",45,"The relative effects of prey availability, anthropogenic pressure and environmental variables on lion (Panthera leo) site use in Tanzania's Ruaha landscape during the dry season"
"46",46,"Mammals Outside Protected Areas: Status and Response to Anthropogenic Disturbance in Western Terai-Arc Landscape"
"47",47,"Carcasses of invasive species are predominantly utilized by invasive scavengers in an island ecosystem"
"48",48,"Wildlife Insights: A Platform to Maximize the Potential of Camera Trap and Other Passive Sensor Wildlife Data for the Planet"
"49",49,"Scavenging along an ecological interface: utilization of amphibian and reptile carcasses around isolated wetlands"
"50",50,"A sparse observation model to quantify species distributions and their overlap in space and time"
"51",51,"Camera trapping in assessing diversity of mammals in Jabal Moussa Biosphere Reserve, Lebanon"
"52",52,"Automated bird counting with deep learning for regional bird distribution mapping"
"53",53,"Ecology of the Persian Squirrel, Sciurus anomalus, in Horsh Ehden Nature Reserve, Lebanon"
"54",54,"Automated photogrammetric method to identify individual painted dogs (Lycaon pictus)"
"55",55,"Avoiding misleading messages: Population assessment using camera trapping is not a simple task"
"56",56,"Real-time thermal infrared moving target detection and recognition using deep learned features"
"57",57,"Use of unfenced highway underpasses by lowland tapirs and other medium and large mammals in central-western Brazil"
"58",58,"Introducing digital cameras to monitor plant phenology in the tropics: applications for conservation"
"59",59,"Manioc losses by terrestrial vertebrates in western Brazilian Amazonia"
"60",60,"A granular view of a snow leopard population using camera traps in Central China"
"61",61,"Shifting up a gear with iDNA: From mammal detection events to standardised surveys"
"62",62,"Behavior - Landscape Interactions May Create Super-Spreader Environments: Vigilance-Olfactory Interactions Across Land Type and Disease Transmission Potential in the Banded Mongoose"
"63",63,"Foraging and habitat use of common duikers, Sylvicapra grimmia, in a heterogeneous environment within the Soutpansberg, South Africa"
"64",64,"A novel camera trapping method for individually identifying pumas by facial features"
"65",65,"Foraging and habitat use of eastern cottontails (Sylvilagus floridanus) in an urban landscape"
"66",66,"Identifying individual cougars (Puma concolor) in remote camera images - Implications for population estimates"
"67",67,"Role of mammals on seed dispersal and predation processes of Mauritia flexuosa (Arecaceae) in the Colombian Amazon [Papel de los mamíferos en los procesos de dispersión y depredación de semillas de Mauritia flexuosa (Arecaceae) en la Amazonía colombiana]"
"68",68,"Using MaxEnt algorithm to assess habitat suitability of a potential Iberian lynx population in central Iberian Peninsula"
"69",69,"The prickles of Astrocaryum malybo as a structural defense to avoid seed predation"
"70",70,"Engineering human–machine teams for trusted collaboration"
"71",71,"Recording body temperature in koalas (Phascolarctos cinereus): a comparison of techniques"
"72",72,"Less invasive monitoring of cougars in colorado's front range"
"73",73,"The role of citizen science and deep learning in camera trapping"
"74",74,"The role of scent marking in mate selection by female pumas (Puma concolor)"
"75",75,"Taking the elephant out of the room and into the corridor: Can urban corridors work?"
"76",76,"Sources of variation in a two-step monitoring protocol for species clustered in conspicuous points: Dolichotis patagonum as a case study"
"77",77,"Effects of peat swamp logging and agricultural expansion on species richness of native mammals in Peninsular Malaysia"
"78",78,"Evaluating coverage effectiveness of multi-camera domes placement for volumetric surveillance"
"79",79,"Mammals of Papikonda Hills, northern Eastern Ghats, India"
"80",80,"An automated classification of mammals and reptiles animal classes using deep learning"
"81",81,"Integrating camera traps and community knowledge to assess the status of the Indian pangolin Manis crassicaudata in the Eastern Ghats, India"
"82",82,"Tiger Detection Using Faster R-CNN for Wildlife Conservation"
"83",83,"Felids of Sebangau: Camera trapping to estimate activity patterns and population abundance in Central Kalimantan, Indonesia"
"84",84,"Landscape-scale patterns and drivers of novel mammal communities in a human-modified protected area"
"85",85,"Apex predators decline after an influx of pastoralists in former Central African Republic hunting zones"
"86",86,"Evaluation of the AHDriFT camera trap system to survey for small mammals and herpetofauna"
"87",87,"First quantitative survey delineates the distribution of chimpanzees in the Eastern Central African Republic"
"88",88,"Evaluation of camera trap-based abundance estimators for unmarked populations"
"89",89,"Modelling climatic and temporal influences on boating traffic with relevance to digital camera monitoring of recreational fisheries"
"90",90,"Image classification for snake species using machine learning techniques"
"91",91,"Effective spatial scales for evaluating environmental determinants of population density in Yakushima macaques"
"92",92,"GLOBE Observer Data: 2016–2019"
"93",93,"Mammalian mesocarnivore visitation at tortoise burrows in a wind farm"
"94",94,"A vision-based approach for the analysis of core characteristics of volcanic ash"
"95",95,"Using motion-sensor camera technology to infer seasonal activity and thermal niche of the desert tortoise (Gopherus agassizii)"
"96",96,"Flight directions of songbirds are unaffected by the topography of Lake Erie’s southern coastline during fall migration"
"97",97,"A review of wildlife camera trapping trends across Africa"
"98",98,"Population density estimation of the European wildcat (Felis silvestris silvestris) in Sicily using camera trapping"
"99",99,"First record of the endangered Arabian Tahr Arabitragus jayakari (Thomas, 1894) in the Hatta Mountain Conservation Area, Dubai, United Arab Emirates"
"100",100,"Density and activity patterns of Pallas's cats, Otocolobus manul, in central Mongolia"
"101",101,"A comparison of the ameliorating effects of native and exotic street trees on surface heat retention at dusk"
"102",102,"Camera-trapping provides insights into adult sex ratio variability in felids"
"103",103,"Where are the bats? An environmental complementarity analysis in a megadiverse country"
"104",104,"Study design and body mass influence RAIs from camera trap studies: Evidence from the Felidae"
"105",105,"Bromeliads going batty: Pollinator partitioning among sympatric chiropterophilous Bromeliaceae"
"106",106,"Wildcat population density on the Etna volcano, Italy: A comparison of density estimation methods"
"107",107,"Ecological video monitoring of Marine Protected Areas by underwater cabled surveillance cameras"
"108",108,"Monitoring the mammalian fauna of urban areas using remote cameras and citizen science"
"109",109,"A new subspecies of giant sengi (Macroscelidea: Rhynchocyon) from coastal Kenya"
"110",110,"Igapó seed patches: A potentially key resource for terrestrial vertebrates in a seasonally flooded forest of central Amazonia"
"111",111,"Influence of season, age and management on scrotal thermal profile in Murrah bulls using scrotal infrared digital thermography"
"112",112,"Putting the Scientist in the Loop - Accelerating Scientific Progress with Interactive Machine Learning"
"113",113,"Scrotal infrared digital thermography predicts effects of thermal stress on buffalo (Bubalus bubalis) semen"
"114",114,"Human, domestic animal, Caracal (Caracal caracal), and other wildlife species interactions in a Mediterranean forest landscape"
"115",115,"Carnivores’ diversity and conflicts with humans in Musk Deer National Park, Azad Jammu and Kashmir, Pakistan"
"116",116,"Detection of Anolis carolinensis using drone images and a deep neural network: an effective tool for controlling invasive species"
"117",117,"Animal species classification using deep neural networks with noise labels"
"118",118,"Diversity of terrestrial mammal seed dispersers along a lowland Amazon forest regrowth gradient"
"119",119,"Semantic region of interest and species classification in the deep neural network feature domain"
"120",120,"Evaluation of wild animals browsing preferences in forage resources"
"121",121,"Rediscovering the Arabian sand cat (Felis margarita harrisoni) after a gap of 10 years using camera traps in the Western Region of Abu Dhabi, United Arab Emirates"
"122",122,"Do non-target species visit feeders and water troughs targeting small game? A study from farmland Spain using camera-trapping"
"123",123,"First record of Blanford's Fox Vulpes cana (Blanford, 1877) from Iraq"
"124",124,"Wildlife visitation at abandoned mines"
"125",125,"Monitoring of the wild mammal fauna in bamo mountain in northern Iraq (kurdistan) for the first time using camera trap method and raising awareness for its conservation"
"126",126,"Computer vision and iot-based sensors in flood monitoring and mapping: A systematic review"
"127",127,"Mammals Outside Protected Areas: Status and Response to Anthropogenic Disturbance in Western Terai-Arc Landscape"
"128",128,"The un-common leopard: Presence, distribution and abundance in Gallies and Murree Forest Division, Northern Pakistan"
"129",129,"Wildlife Insights: A Platform to Maximize the Potential of Camera Trap and Other Passive Sensor Wildlife Data for the Planet"
"130",130,"Overpasses intended for human use can be crossed by middle and large-size mammals"
"131",131,"Monitoring the Status and Trends of Tropical Forest Terrestrial Vertebrate Communities from Camera Trap Data: A Tool for Conservation"
"132",132,"A multi-scale, multi-species approach for assessing effectiveness of habitat and connectivity conservation for endangered felids"
"133",133,"Mammalian Wildlife tourism in South-East Asian tropical rainforests: The case of Endau Rompin national Park, Malaysia"
"134",134,"Angler Effort Estimates from Instantaneous Aerial Counts: Use of High-Frequency Time-Lapse Camera Data to Inform Model-Based Estimators"
"135",135,"A sparse observation model to quantify species distributions and their overlap in space and time"
"136",136,"Theorizing animal–computer interaction as machinations"
"137",137,"On the reappearance of the Indian grey wolf in Bangladesh after 70 years: what do we know?"
"138",138,"Continuous, long-term, high-frequency thermal imaging of vegetation: Uncertainties and recommended best practices"
"139",139,"Camera trap study on inventory and daily activity patterns of large mammals in a mixed forest in north-western Turkey"
"140",140,"Emerging technologies for biological recording"
"141",141,"Temporal Preference of Eurasian Lynx (Lynx lynx) in a Highland Forest in Northwestern Anatolia in Relation to Other Medium and Large Mammal Species"
"142",142,"Spatial capture–recapture for categorically marked populations with an application to genetic capture–recapture"
"143",143,"Evaluating the utility of camera traps in field studies of predation"
"144",144,"Threatened Andean bears are negatively affected by human disturbance and free-ranging cattle in a protected area in northwest Peru"
"145",145,"Automated photogrammetric method to identify individual painted dogs (Lycaon pictus)"
"146",146,"Bait preference for remote camera trap studies of the endangered northern quoll (Dasyurus hallucatus)"
"147",147,"Excitation transfer and trapping kinetics in plant photosystem I probed by two-dimensional electronic spectroscopy"
"148",148,"Use of infrared thermography in early diagnosis of pathologies in Asian elephants (elephas maximus)"
"149",149,"Dominance hierarchy on palm resource partitioning among Neotropical frugivorous mammals"
"150",150,"Evaluating the efficacy and decay of lures for improving carnivore detections with camera traps"
"151",151,"Striped hyena (Hyaena hyaena) status and factors affecting its distribution in the gir national park and sanctuary, India"
"152",152,"Using non-invasively collected genetic data to estimate density and population size of tigers in the Bangladesh Sundarbans"
"153",153,"Activity patterns of medium and large sized mammals in piedmont forests of the yungas of northwestern Argentina [Patrones de actividad de mamíferos de medio y gran porte en el pedemonte de yungas del noroeste Argentino]"
"154",154,"Sometimes i see spots: Patterns of abundance and distribution of the bobcat (lynx rufus) in different regions of México"
"155",155,"Mortality of mammals and mitigation actions in irrigation canals of the yungas piedmont of the high Bermejo river basin, Argentina [Mortalidad de mamÍferos y medidas de mitigaciÓn en canales de riego del pedemonte de yungas de la alta cuenca del rÍo Bermejo, Argentina]"
"156",156,"Camera-based eye blink detection algorithm for assessing driver drowsiness"
"157",157,"Medium and large sized mammals in forested corridors of the yungas’ piedmont of northwestern Argentina [Mamíferos de mediano y gran porte en corredores boscosos del piedemonte de yungas del noroeste Argentino]"
"158",158,"Behavior of gray triggerfish Balistes capriscus around baited fish traps determined from fine-scale acoustic tracking"
"159",159,"Carnivore and ungulate populations in the Beydaglari Mountains (Antalya, Turkey): Border region between Asia and Europe"
"160",160,"Warning systems triggered by trains increase flight-initiation times of wildlife"
"161",161,"The white-eared opossum failed to understand the parallel strings task: studying a primitive mammal under natural conditions"
"162",162,"Count, crop and recognise: Fine-grained recognition in the wild"
"163",163,"Introducing digital cameras to monitor plant phenology in the tropics: applications for conservation"
"164",164,"Use of manned submersible and autonomous stereo-camera array to assess forage fish and associated subtidal habitat"
"165",165,"A natural history of Chlorocebus dryas from camera traps in Lomami National Park and its buffer zone, Democratic Republic of the Congo, with notes on the species status of Cercopithecus salongo"
"166",166,"Spatial ecology of the stone marten in an Alpine area: combining camera-trapping and genetic surveys"
"167",167,"Using local knowledge and camera traps to investigate occurrence and habitat preference of an Endangered primate: The endemic dryas monkey in the Democratic Republic of the Congo"
"168",168,"Pine marten density in lowland riparian woods: A test of the Random Encounter Model based on genetic data"
"169",169,"Conservation of snow leopards: Spill-over benefits for other carnivores?"
"170",170,"Big cats at large: Density, structure, and spatio-temporal patterns of a leopard population free of anthropogenic mortality"
"171",171,"On the high trail: Examining determinants of site use by the Endangered snow leopard Panthera uncia in Qilianshan, China"
"172",172,"A Citizen-Centred Sentiment Analysis Towards India’s Critically Endangered Avian and Mammalian Species"
"173",173,"A granular view of a snow leopard population using camera traps in Central China"
"174",174,"Deep learning-based appearance features extraction for automated carp species identification"
"175",175,"Face value: Towards robust estimates of snow leopard densities"
"176",176,"Diel and seasonal activity pattern of alien sika deer with sympatric mammalian species from Muljangori-oreum wetland of Hallasan National Park, South Korean"
"177",177,"Behavior - Landscape Interactions May Create Super-Spreader Environments: Vigilance-Olfactory Interactions Across Land Type and Disease Transmission Potential in the Banded Mongoose"
"178",178,"Replacing subjective assessment of dairy cows with objective measures"
"179",179,"A novel camera trapping method for individually identifying pumas by facial features"
"180",180,"Disease-mediated piglet mortality prevents wild boar population growth in fenced overabundant settings"
"181",181,"Identifying individual cougars (Puma concolor) in remote camera images - Implications for population estimates"
"182",182,"Rattus rattus, a potential threat to the endangered tree Gomortega keule in the Maulino forest of Chile"
"183",183,"Do Marco Polo argali Ovis ammon polii persist in Pakistan?"
"184",184,"Technological advances in field studies of pollinator ecology and the future of e-ecology"
"185",185,"Mechanism of microwave-initiated ignition of sensitized energetic nanocomposites"
"186",186,"Sociality and signaling activity modulate information flow in river otter communication networks"
"187",187,"Less invasive monitoring of cougars in colorado's front range"
"188",188,"Coastal latrine sites as social information hubs and drivers of river otter fission–fusion dynamics"
"189",189,"Recent invasion of European red foxes (Vulpes vulpes) on to Fraser Island (K'gari) and South Stradbroke Island"
"190",190,"Preliminary observations on the cryptic fauna of Sikkim Trans-Himalaya, India"
"191",191,"Animal welfare considerations for using large carnivores and guardian dogs as vertebrate biocontrol tools against other animals"
"192",192,"Estimating leopard cat Prionailurus bengalensis densities using photographic captures and recaptures"
"193",193,"Environmental effects are stronger than human effects on mammalian predator-prey relationships in arid Australian ecosystems"
"194",194,"Improving classification performance of deep learning models using bio-inspired computing"
"195",195,"Cannibalism in Raptors: A Review"
"196",196,"Recent trends and remaining challenges for optical remote sensing of Arctic tundra vegetation: A review and outlook"
"197",197,"Counting cats for conservation: seasonal estimates of leopard density and drivers of distribution in the Serengeti"
"198",198,"Distributional shifts in a biodiversity hotspot"
"199",199,"Exploring the adaptive significance of five types of puma (puma concolor) vocalizations"
"200",200,"Multifactorial uncertainty assessment for monitoring population abundance using computer vision"
"201",201,"Can't bear the competition: Energetic losses from kleptoparasitism by a dominant scavenger may alter foraging behaviors of an apex predator"
"202",202,"Evaluating the Use of Drones Equipped with Thermal Sensors as an Effective Method for Estimating Wildlife"
"203",203,"Is there anybody out there? Occupancy of the carnivore guild in a temperate archipelago"
"204",204,"Species Distribution Modeling for Machine Learning Practitioners: A Review"
"205",205,"Resource limitations and competitive interactions affect carnivore community composition at different ecological scales in a temperate island system"
"206",206,"Synthetic examples improve generalization for rare classes"
"207",207,"No respect for apex carnivores: Distribution and activity patterns of honey badgers in the Serengeti"
"208",208,"Recognition in Terra Incognita"
"209",209,"Predicting preferred prey of Sumatran tigers Panthera tigris sumatrae via spatio-temporal overlap"
"210",210,"Context R-CNN: Long term temporal context for per-camera object detection"
"211",211,"Patterns in bobcat (Lynx rufus) scent marking and communication behaviors"
"212",212,"Contour Extraction of Individual Cattle from an Image Using Enhanced Mask R-CNN Instance Segmentation Method"
"213",213,"Scavenging by Owls: A Global Review and New Observations from Europe and North America"
"214",214,"Cow Image Segmentation Using Mask R-CNN Integrated with Grabcut"
"215",215,"The role of scent marking in mate selection by female pumas (Puma concolor)"
"216",216,"Image-based individual cow recognition using body patterns"
"217",217,"Puma communication behaviours: Understanding functional use and variation among sex and age classes"
"218",218,"A novel method to evaluate stream connectivity using trail cameras"
"219",219,"Detection of Endangered American Martens (Martes americana) in Apostle Islands National Lakeshore, Wisconsin"
"220",220,"Effects of sample size and network depth on a deep learning approach to species distribution modeling"
"221",221,"Solar radiation determines site occupancy of coexisting tropical and temperate deer species introduced to New Zealand forests"
"222",222,"Human Behavior-Based Target Tracking with an Omni-Directional Thermal Camera"
"223",223,"Evaluation of road expansion and connectivity mitigation for wildlife in southern California"
"224",224,"Extracting accurate long-term behavior changes from a large pig dataset"
"225",225,"Sources of variation in a two-step monitoring protocol for species clustered in conspicuous points: Dolichotis patagonum as a case study"
"226",226,"Multi-views Embedding for Cattle Re-identification"
"227",227,"Distribution and morphometric measurements of blanford's fox vulpes cana (Mammalia: Carnivora: Canidae) of the kingdom of saudi arabia"
"228",228,"Stitching and surface reconstruction from endoscopic image sequences: A review of applications and methods"
"229",229,"The First Record of Eurasian Spoonbill (Platalea leucorodia) Nesting in the Eastern Province of Saudi Arabia with a Description of Nest Attendance Behavior"
"230",230,"Animal use of rehabilitated formerly fire damaged peat-swamp forest in western Sabah, Malaysia"
"231",231,"Archaic, terrestrial hamilton’s frogs (Leiopelma hamiltoni) display arboreal behaviours"
"232",232,"Giant Anteater Population Density Estimation and Viability Analysis Through Motion-Sensitive Camera Records"
"233",233,"Population size assessment of the Endangered red-billed curassow Crax blumenbachii: Accounting for variation in detectability and sex-biased estimates"
"234",234,"A nocturnally foraging gecko of the high-latitude alpine zone: Extreme tolerance of cold nights, with cryptic basking by day"
"235",235,"Use of road underpasses by terrestrial tetrapods inside a protected area in the southeastern part of the State of São Paulo, Brazil [Uso de pontes e galerias rodoviárias por tetrápodes terrestres em uma área protegida na região sudeste do Estado de São Paulo]"
"236",236,"Drawn out of the shadows: Surveying secretive forest species with camera trap distance sampling"
"237",237,"Medium-sized and large mammals of the floresta da cicuta area of relevant ecological interest, a protected area in southeastern brazil"
"238",238,"Occupancy of chainsaw-carved hollows by an Australian arboreal mammal is influenced by cavity attributes and surrounding habitat"
"239",239,"Landscape-scale patterns and drivers of novel mammal communities in a human-modified protected area"
"240",240,"Multi-camera videography methods for aeroecology"
"241",241,"First record of a melanistic golden jackal (canis aureus , canidae) from Turkey"
"242",242,"Setting the stage for the machine intelligence era in marine science"
"243",243,"Use of AHDriFT to efficiently survey for Sistrurus catenatus"
"244",244,"Road conditions and obstacles indication and autonomous braking system"
"245",245,"Evaluation of the AHDriFT camera trap system to survey for small mammals and herpetofauna"
"246",246,"Identification of human-leopard conflicts, conservation threats and habitat suitability in the urban landscapes of guwahati city, Assam, India using field-based and geospatial techniques"
"247",247,"Small mammal daily activity periods derived using AHDriFT camera traps"
"248",248,"Genetic analyses reveal population structure and recent decline in leopards (Panthera pardus fusca) across the Indian subcontinent"
"249",249,"Evaluation of camera trap-based abundance estimators for unmarked populations"
"250",250,"CORF3D contour maps with application to Holstein cattle recognition from RGB and thermal images[Formula presented]"
"251",251,"The Use of Camera-Traps to Monitor Forest Antelope Species"
"252",252,"Assessing the impact of introduced infrastructure at sea with cameras: A case study for spatial scale, time and statistical power"
"253",253,"The northern coastal forests of Kenya are nationally and globally important for the conservation of Aders’ duiker Cephalophus adersi and other antelope species"
"254",254,"Thermal Infrared Images to Identify the Contribution of Surface Materials to the Canopy Layer Heat Island in Hot-Humid Urban Areas"
"255",255,"Estimating forest antelope population densities using distance sampling with camera traps"
"256",256,"Trialling camera traps to determine occupancy and breeding in burrowing seabirds"
"257",257,"The status and ecology of the sand cat in the Uruq Bani Ma'arid Protected Area, Empty Quarter of Saudi Arabia"
"258",258,"Effect of disturbances and habitat fragmentation on an arboreal habitat specialist mammal using GPS telemetry: a case of the red panda"
"259",259,"Habitat use of the endangered golden-rumped sengi Rhynchocyon chrysopygus"
"260",260,"Real-time insect tracking and monitoring with computer vision and deep learning"
"261",261,"The scale of effect depends on operational definition of forest cover—evidence from terrestrial mammals of the Brazilian savanna"
"262",262,"Review: COVID-19 highlights the importance of camera traps for wildlife conservation research and management"
"263",263,"Temporal patterns of waterhole use as a predator avoidance strategy"
"264",264,"Temporal overlaps of feral cats with prey and competitors in primary and human-altered habitats on Bohol Island, Philippines"
"265",265,"Sciurus Niger Niger (Southern Fox Squirrel) Density and the Diurnal Patterns, Occupancy, and Detection of Sympatric Southern Fox Squirrels and S. carolinensis (Eastern Gray Squirrel) on Spring Island, South Carolina"
"266",266,"Medium- to large-bodied mammal surveys across the Neotropics are heavily biased against the most faunally intact assemblages"
"267",267,"Sex-specific habitat suitability modeling for panthera tigris in chitwan national park, nepal: Broader conservation implications"
"268",268,"When bugs reveal biodiversity"
"269",269,"Predicting the distribution of sunda pangolin (manis javanica desmarest, 1822) in way canguk research station, bukit barisan selatan national park, lampung"
"270",270,"Flora Capture: a citizen science application for collecting structured plant observations"
"271",271,"Sympatric predator odour reveals a competitive relationship in size-structured mammalian carnivores"
"272",272,"A computer-assisted system for photographic mark-recapture analysis"
"273",273,"Space use and temporal partitioning of sympatric Tasmanian devils and spotted-tailed quolls"
"274",274,"VIOLA: Video Labeling Application for Security Domains"
"275",275,"Burrow webs: Clawing the surface of interactions with burrows excavated by American badgers"
"276",276,"Richness and monitoring of mammals in private protected areas in Antioquia, Colombia [Riqueza y monitoreo de mamíferos en áreas protegidas privadas en Antioquia, Colombia]"
"277",277,"Modeling Louisiana Pinesnake Habitat to Guide the Search for Population Relicts"
"278",278,"Outdoor animal tracking combining neural network and time-lapse cameras"
"279",279,"Predation of artificial nests by introduced rhesus macaques (Macaca mulatta) in Florida, USA"
"280",280,"Fear of the dark? Contrasting impacts of humans versus lynx on diel activity of roe deer across Europe"
"281",281,"Population estimate and management options for introduced rhesus macaques"
"282",282,"Seed predation and dispersal by small mammals in a landscape of fear: effects of personality, predation risk and land-use change"
"283",283,"Flight directions of songbirds are unaffected by the topography of Lake Erie’s southern coastline during fall migration"
"284",284,"Assessing the habitat use, suitability and activity pattern of the rusty-spotted cat Prionailurus rubiginosus in Kanha Tiger Reserve, India"
"285",285,"Reflections in the rainforest: full-length mirrors facilitate behavioral observations of unhabituated, wild chimpanzees"
"286",286,"Abundance and density estimates for common leopard Panthera pardus and clouded leopard Neofelis nebulosa in Manas National Park, Assam, India"
"287",287,"The spatial distribution of african savannah herbivores: Species associations and habitat occupancy in a landscape context"
"288",288,"Tigers in the transboundary manas conservation complex: Conservation implications across borders"
"289",289,"Exotic oryx interact with shrub encroachment in the Chihuahuan Desert"
"290",290,"Does artificial light influence the activity of vertebrates beneath rural buildings?"
"291",291,"Use of site occupancy models for targeted monitoring of the cheetah"
"292",292,"Aerial-trained deep learning networks for surveying cetaceans from satellite imagery"
"293",293,"Evidence for a resident population of cheetah in the Parque Nacional do Limpopo, Mozambique"
"294",294,"Population density of Central American tapir (Tapirella bairdii) in cloud forest in Totontepec Villa de Morelos, Oaxaca, Mexico [Densidad poblacional del tapir centroamericano (Tapirella bairdii) en bosque mesófilo de montaña en Totontepec Villa de Morelos, Oaxaca, México]"
"295",295,"Does traditional feeding of outdoor guard dogs provide a food resource for wild mammals and birds?"
"296",296,"Drifting baited stereo-videography: A novel sampling tool for surveying pelagic wildlife in offshore marine reserves"
"297",297,"New records of a threatened lion population (Panthera leo) in a West African National Park"
"298",298,"Road hogs: Implications from GPS collared feral swine in pastureland habitat on the general utility of road-based observation techniques for assessing abundance"
"299",299,"Tradeoffs and tools for data quality, privacy, transparency, and trust in citizen science"
"300",300,"A review on early wildfire detection from unmanned aerial vehicles using deep learning-based computer vision algorithms"
"301",301,"Study design and body mass influence RAIs from camera trap studies: Evidence from the Felidae"
"302",302,"An analysis of altitude, citizen science and a convolutional neural network feedback loop on object detection in Unmanned Aerial Systems"
"303",303,"Determinants of jaguar occupancy at the northern range edge"
"304",304,"Detecting wildlife in unmanned aerial systems imagery using convolutional neural networks trained with an automated feedback loop"
"305",305,"Population density estimation of the European wildcat (Felis silvestris silvestris) in Sicily using camera trapping"
"306",306,"Mothers Frequent Caves: Lactation Affects Chimpanzee (Pan troglodytes verus) Cave Use in Southeastern Senegal"
"307",307,"A non-invasive monitoring on European wildcat (Felis silvestris silvestris Schreber, 1777) in Sicily using hair trapping and camera trapping: Does scented lure work?"
